ID,PAY_0,default,signup_at
1000,late,0,2024-01-02T00:00:00Z
1001,1,0,2024-01-02T00:00:00Z
1002,-1,1,2024-01-02T00:00:00Z
1003,-1,1,2024-01-02T10:00:00Z
1004,-2,0,2024-01-02T10:00:00Z
1005,late,0,
1006,0,0,2024-01-02T10:00:00Z
1007,-2,1,2024-01-02T10:00:00Z
1008,0,1,2024-01-02T10:00:00Z
1009,late,1,
1010,-2,1,
1011,2,0,
1012,0,1,
1013,-1,1,2024-01-02T10:00:00Z
1014,late,1,2024-01-02T10:00:00Z
1015,1,0,2024-01-02T10:00:00Z
1016,-2,0,
1018,2,1,
1019,0,0,2024-01-02T10:00:00Z
1020,2,1,2024-01-02T00:00:00Z
1021,2,0,2024-01-02T10:00:00Z
1022,2,0,2024-01-02T00:00:00Z
1023,2,0,2024-01-02T10:00:00Z
1024,-2,0,2024-01-02T00:00:00Z
1025,2,1,2024-01-02T00:00:00Z
1026,-2,1,2024-01-02T10:00:00Z
1027,late,0,2024-01-02T10:00:00Z
1028,-1,1,2024-01-02T00:00:00Z
1029,1,1,2024-01-02T10:00:00Z
1030,-1,1,
1031,-1,1,2024-01-02T10:00:00Z
1032,late,1,2024-01-02T00:00:00Z
1033,-2,0,2024-01-02T10:00:00Z
1035,-2,0,
1036,2,0,
1037,-1,1,2024-01-02T00:00:00Z
1038,late,1,2024-01-02T10:00:00Z
1039,2,0,2024-01-02T00:00:00Z
1040,0,1,2024-01-02T10:00:00Z
1041,late,0,2024-01-02T10:00:00Z
1042,0,0,2024-01-02T10:00:00Z
1043,-1,1,
1044,late,0,2024-01-02T10:00:00Z
1045,-1,1,2024-01-02T10:00:00Z
1046,2,0,
1047,0,0,2024-01-02T00:00:00Z
1048,2,0,2024-01-02T00:00:00Z
1049,-2,1,
1050,-1,1,2024-01-02T10:00:00Z
1052,0,1,2024-01-02T10:00:00Z
1053,0,1,2024-01-02T00:00:00Z
1054,-2,1,2024-01-02T10:00:00Z
1055,2,0,
1056,1,1,2024-01-02T10:00:00Z
1057,2,1,2024-01-02T10:00:00Z
1058,-1,1,2024-01-02T00:00:00Z
1059,2,1,2024-01-02T00:00:00Z
1060,1,0,
1061,2,1,2024-01-02T10:00:00Z
1062,-1,0,2024-01-02T00:00:00Z
1063,1,0,
1064,-1,0,2024-01-02T10:00:00Z
1065,late,0,2024-01-02T00:00:00Z
1066,1,1,
1067,1,1,
1069,-1,1,2024-01-02T10:00:00Z
1070,1,0,2024-01-02T10:00:00Z
1071,2,0,2024-01-02T00:00:00Z
1072,late,1,
1073,1,0,
1074,1,1,
1075,2,1,2024-01-02T10:00:00Z
1076,1,1,
1077,0,1,
1078,-2,0,2024-01-02T10:00:00Z
1079,-2,0,2024-01-02T00:00:00Z
1080,late,0,
1081,-1,0,2024-01-02T00:00:00Z
1082,-2,1,
1083,late,0,2024-01-02T10:00:00Z
1084,-2,1,2024-01-02T10:00:00Z
1086,1,1,
1087,0,0,2024-01-02T10:00:00Z
1088,2,1,2024-01-02T10:00:00Z
1089,-1,1,2024-01-02T10:00:00Z
1090,late,0,2024-01-02T00:00:00Z
1091,1,1,
1092,0,0,2024-01-02T10:00:00Z
1093,2,1,2024-01-02T10:00:00Z
1094,0,0,2024-01-02T00:00:00Z
1095,late,0,
1096,-1,1,2024-01-02T00:00:00Z
1097,-1,0,2024-01-02T10:00:00Z
1098,-2,1,
1099,-1,1,2024-01-02T10:00:00Z
1100,-2,0,2024-01-02T00:00:00Z
1101,-1,1,2024-01-02T00:00:00Z
1103,late,0,2024-01-02T10:00:00Z
1104,-1,0,2024-01-02T00:00:00Z
1105,late,1,2024-01-02T10:00:00Z
1106,late,0,2024-01-02T10:00:00Z
1107,-2,0,2024-01-02T10:00:00Z
1108,-1,1,
1109,late,1,
1110,late,1,2024-01-02T10:00:00Z
1111,2,1,2024-01-02T10:00:00Z
1112,late,0,
1113,1,1,2024-01-02T10:00:00Z
1114,0,1,2024-01-02T10:00:00Z
1115,-2,1,2024-01-02T10:00:00Z
1116,2,1,
1117,0,1,2024-01-02T10:00:00Z
1118,-1,1,2024-01-02T10:00:00Z
1120,-2,1,2024-01-02T10:00:00Z
1121,1,1,2024-01-02T00:00:00Z
1122,2,0,2024-01-02T10:00:00Z
1123,0,1,
1124,1,1,
1125,2,1,2024-01-02T10:00:00Z
1126,1,0,
1127,2,1,2024-01-02T10:00:00Z
1128,late,0,2024-01-02T10:00:00Z
1129,2,0,2024-01-02T10:00:00Z
1130,late,0,2024-01-02T10:00:00Z
1131,late,0,2024-01-02T10:00:00Z
1132,-2,0,2024-01-02T10:00:00Z
1133,-1,1,2024-01-02T00:00:00Z
1134,2,0,
1135,1,1,2024-01-02T10:00:00Z
1137,0,1,
1138,1,1,2024-01-02T10:00:00Z
1139,-2,1,2024-01-02T10:00:00Z
1140,late,0,2024-01-02T10:00:00Z
1141,0,0,2024-01-02T10:00:00Z
1142,1,1,2024-01-02T00:00:00Z
1143,late,0,2024-01-02T00:00:00Z
1144,2,1,
1145,1,0,
1146,1,0,
