ID,MARITAL_STATUS,PAY_0,default,signup_at,LEAK_FUTURE_DEFAULT
1000,single,late,0,2024-01-02T00:00:00Z,0
1001,NULL,1,0,2024-01-02T00:00:00Z,0
1002,NULL,-1,1,2024-01-02T00:00:00Z,1
1003,single,-1,1,2024-01-02T10:00:00Z,1
1004,divorced,-2,0,2024-01-02T10:00:00Z,0
1005,single,late,0,,0
1006,NULL,0,0,2024-01-02T10:00:00Z,0
1007,divorced,-2,1,2024-01-02T10:00:00Z,1
1008,married,0,1,2024-01-02T10:00:00Z,1
1009,NULL,late,1,,1
1010,divorced,-2,1,,1
1011,married,2,0,,0
1012,married,0,1,,1
1013,divorced,-1,1,2024-01-02T10:00:00Z,1
1014,married,late,1,2024-01-02T10:00:00Z,1
1015,NULL,1,0,2024-01-02T10:00:00Z,0
1016,divorced,-2,0,,0
1018,married,2,1,,1
1019,divorced,0,0,2024-01-02T10:00:00Z,0
1020,single,2,1,2024-01-02T00:00:00Z,1
1021,married,2,0,2024-01-02T10:00:00Z,0
1022,??,2,0,2024-01-02T00:00:00Z,0
1023,single,2,0,2024-01-02T10:00:00Z,0
1024,married,-2,0,2024-01-02T00:00:00Z,0
1025,married,2,1,2024-01-02T00:00:00Z,1
1026,married,-2,1,2024-01-02T10:00:00Z,1
1027,??,late,0,2024-01-02T10:00:00Z,0
1028,single,-1,1,2024-01-02T00:00:00Z,1
1029,divorced,1,1,2024-01-02T10:00:00Z,1
1030,single,-1,1,,1
1031,single,-1,1,2024-01-02T10:00:00Z,1
1032,??,late,1,2024-01-02T00:00:00Z,1
1033,married,-2,0,2024-01-02T10:00:00Z,0
1035,married,-2,0,,0
1036,NULL,2,0,,0
1037,divorced,-1,1,2024-01-02T00:00:00Z,1
1038,married,late,1,2024-01-02T10:00:00Z,1
1039,??,2,0,2024-01-02T00:00:00Z,0
1040,married,0,1,2024-01-02T10:00:00Z,1
1041,NULL,late,0,2024-01-02T10:00:00Z,0
1042,married,0,0,2024-01-02T10:00:00Z,0
1043,divorced,-1,1,,1
1044,single,late,0,2024-01-02T10:00:00Z,0
1045,divorced,-1,1,2024-01-02T10:00:00Z,1
1046,married,2,0,,0
1047,divorced,0,0,2024-01-02T00:00:00Z,0
1048,divorced,2,0,2024-01-02T00:00:00Z,0
1049,??,-2,1,,1
1050,divorced,-1,1,2024-01-02T10:00:00Z,1
1052,??,0,1,2024-01-02T10:00:00Z,1
1053,NULL,0,1,2024-01-02T00:00:00Z,1
1054,single,-2,1,2024-01-02T10:00:00Z,1
1055,??,2,0,,0
1056,divorced,1,1,2024-01-02T10:00:00Z,1
1057,divorced,2,1,2024-01-02T10:00:00Z,1
1058,NULL,-1,1,2024-01-02T00:00:00Z,1
1059,??,2,1,2024-01-02T00:00:00Z,1
1060,??,1,0,,0
1061,divorced,2,1,2024-01-02T10:00:00Z,1
1062,married,-1,0,2024-01-02T00:00:00Z,0
1063,??,1,0,,0
1064,married,-1,0,2024-01-02T10:00:00Z,0
1065,married,late,0,2024-01-02T00:00:00Z,0
1066,married,1,1,,1
1067,NULL,1,1,,1
1069,divorced,-1,1,2024-01-02T10:00:00Z,1
1070,married,1,0,2024-01-02T10:00:00Z,0
1071,divorced,2,0,2024-01-02T00:00:00Z,0
1072,NULL,late,1,,1
1073,divorced,1,0,,0
1074,??,1,1,,1
1075,married,2,1,2024-01-02T10:00:00Z,1
1076,married,1,1,,1
1077,??,0,1,,1
1078,??,-2,0,2024-01-02T10:00:00Z,0
1079,single,-2,0,2024-01-02T00:00:00Z,0
1080,??,late,0,,0
1081,divorced,-1,0,2024-01-02T00:00:00Z,0
